entity_id,type,debit,credit,amount,currency,fee,tax,on_hold,settled,created_at,settled_at,settlement_id,settlement_utr,credit_type,payment_id,order_id,dispute_id,method,card_network,card_issuer,card_type,description
pay_Qgi2b1Q6cPq8z8,payment,0.00,19230.20,19695.00,INR,464.80,70.90,false,true,2026-08-03T21:55:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_Qgi2b1Q6cPq8z8,order_dGstvkpPkvyXpm,,card,RuPay,Axis Bank,credit,
pay_xOD3d8tVBQUQjU,payment,0.00,10302.00,10302.00,INR,0.00,0.00,false,true,2026-08-03T08:08:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_xOD3d8tVBQUQjU,order_0exCnH52OiosD4,,upi,,,,
pay_diFvxK1jiULdKl,payment,0.00,35591.00,35591.00,INR,0.00,0.00,false,true,2026-08-03T16:28:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_diFvxK1jiULdKl,order_YMOQZzcSJqteqU,,upi,,,,
pay_6mW0TFHt7uMP7w,payment,0.00,15547.22,15923.00,INR,375.78,57.32,false,true,2026-08-03T09:05:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_6mW0TFHt7uMP7w,order_aJ6ub3CWpvR7ei,,card,Visa,HDFC Bank,credit,
pay_hf3uqtErdfthzn,payment,0.00,1497.00,1497.00,INR,0.00,0.00,false,true,2026-08-03T13:13:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_hf3uqtErdfthzn,order_etFrmK1y9nJwJP,,upi,,,,
pay_yTFytBv73YAu6O,payment,0.00,243.12,249.00,INR,5.88,0.90,false,true,2026-08-03T17:02:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_yTFytBv73YAu6O,order_4CQCYBnE4QV3Je,,card,MasterCard,ICICI Bank,debit,
pay_7thmdRrcprEbks,payment,0.00,434.00,434.00,INR,0.00,0.00,false,true,2026-08-03T15:48:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_7thmdRrcprEbks,order_ZXLKxu4QBHLuoJ,,upi,,,,
pay_3Vq1INrZZ4mUkd,payment,0.00,480.34,489.00,INR,8.66,1.32,false,true,2026-08-03T15:30:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_3Vq1INrZZ4mUkd,order_LT1qqH2kEnl1sX,,netbanking,,,,
pay_LArU8eCo48Un4J,payment,0.00,9234.00,9234.00,INR,0.00,0.00,false,true,2026-08-03T20:46:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_LArU8eCo48Un4J,order_az2vRysuB1dqcf,,upi,,,,
pay_segTw4tfl57PwF,payment,0.00,5319.00,5319.00,INR,0.00,0.00,false,true,2026-08-03T12:22:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_segTw4tfl57PwF,order_HfgK4B6oLSErQm,,upi,,,,
pay_W05QqSIAVt3uJg,payment,0.00,1454.00,1454.00,INR,0.00,0.00,false,true,2026-08-03T22:13:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_W05QqSIAVt3uJg,order_RapKbJSkxfCYgA,,upi,,,,
pay_iwRzeersPoWXPx,payment,0.00,7099.00,7099.00,INR,0.00,0.00,false,true,2026-08-03T20:31:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_iwRzeersPoWXPx,order_zVgP8P0PARM0FY,,upi,,,,
pay_xQttSuhLPkbBBS,payment,0.00,19330.00,19330.00,INR,0.00,0.00,false,true,2026-08-03T11:18:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_xQttSuhLPkbBBS,order_BC10BuB2U8rNyV,,upi,,,,
pay_7eP4kRUoRC0d1A,payment,0.00,1215.00,1215.00,INR,0.00,0.00,false,true,2026-08-03T14:18:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_7eP4kRUoRC0d1A,order_7hBDojCGirC8CQ,,upi,,,,
pay_hFrKON6SiEMXWS,payment,0.00,7580.00,7580.00,INR,0.00,0.00,false,true,2026-08-03T19:23:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_hFrKON6SiEMXWS,order_oJCej6jjN8f5DC,,upi,,,,
pay_QS2TmpOPO5ntrz,payment,0.00,17392.00,17392.00,INR,0.00,0.00,false,true,2026-08-03T17:50:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_QS2TmpOPO5ntrz,order_3pu7Qj4sC1NNYy,,upi,,,,
pay_r1OcnA5PAqi0Hf,payment,0.00,466.72,478.00,INR,11.28,1.72,false,true,2026-08-03T15:58:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_r1OcnA5PAqi0Hf,order_qsW9B6WapdEbta,,card,Amex,ICICI Bank,credit,
pay_Mey7VVToAdrG54,payment,0.00,30553.51,31292.00,INR,738.49,112.65,false,true,2026-08-03T15:35:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_Mey7VVToAdrG54,order_nZF6t3aYt5U2sT,,card,RuPay,SBI Cards,credit,
pay_23krSXznZNAdE4,payment,0.00,6219.00,6219.00,INR,0.00,0.00,false,true,2026-08-03T12:33:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_23krSXznZNAdE4,order_4pQnF6eZ7wwGZI,,upi,,,,
pay_180bR6FjdWus7Q,payment,0.00,14142.22,14493.00,INR,350.78,53.51,false,true,2026-08-03T10:17:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_180bR6FjdWus7Q,order_gb3GtxMWAMGFrR,,card,Amex,Axis Bank,credit,
pay_IBJVqAeE3UO9Qa,payment,0.00,3091.91,3159.00,INR,67.09,10.23,false,true,2026-08-03T16:31:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_IBJVqAeE3UO9Qa,order_AlbKia6zcAObMa,,wallet,,,,
pay_7WuCSLmMsKcNrT,payment,0.00,1698.00,1698.00,INR,0.00,0.00,false,true,2026-08-03T21:46:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_7WuCSLmMsKcNrT,order_LPtKFaskvCKV1W,,upi,,,,
pay_0IrqRvkn9cdJH5,payment,0.00,1341.00,1341.00,INR,0.00,0.00,false,true,2026-08-03T11:05:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_0IrqRvkn9cdJH5,order_mP7kZphO8CCCTj,,upi,,,,
pay_qifIikKYBUQGIv,payment,0.00,33038.45,33837.00,INR,798.55,121.81,false,true,2026-08-03T16:34:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_qifIikKYBUQGIv,order_E5RWZpsqsEbnum,,card,Amex,SBI Cards,credit,
pay_P3BQRI00D9MfhR,payment,0.00,42240.00,42240.00,INR,0.00,0.00,false,true,2026-08-03T11:43:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_P3BQRI00D9MfhR,order_CuprKA8X91GR9o,,upi,,,,
pay_opkHnYQng1RiCa,payment,0.00,35632.00,35632.00,INR,0.00,0.00,false,true,2026-08-03T10:49:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_opkHnYQng1RiCa,order_6mdQHjcVpSPYUO,,upi,,,,
pay_6t9cQ8jQalyxvI,payment,0.00,4346.00,4346.00,INR,0.00,0.00,false,true,2026-08-03T20:49:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_6t9cQ8jQalyxvI,order_BQ2xS5smH5yAgg,,upi,,,,
pay_ElzglEW5B9U4AZ,payment,0.00,6458.00,6458.00,INR,0.00,0.00,false,true,2026-08-03T15:28:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_ElzglEW5B9U4AZ,order_dVNgkzK5nlIfEH,,upi,,,,
pay_IRUzBv2qb96qln,payment,0.00,1260.00,1260.00,INR,0.00,0.00,false,true,2026-08-03T20:56:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_IRUzBv2qb96qln,order_rY1MSYkDBFb2hd,,upi,,,,
pay_gQ8smy4lP8Opif,payment,0.00,20463.00,20463.00,INR,0.00,0.00,false,true,2026-08-03T15:12:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_gQ8smy4lP8Opif,order_aQ3uHBcoeP0v7v,,upi,,,,
pay_G3nFetqmD2SYdJ,payment,0.00,172.26,176.00,INR,3.74,0.57,false,true,2026-08-03T12:26:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_G3nFetqmD2SYdJ,order_kdTxiXc5EOHtbx,,wallet,,,,
pay_OusRQBAuiEHobD,payment,0.00,28906.14,29427.00,INR,520.86,79.45,false,true,2026-08-03T13:06:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_OusRQBAuiEHobD,order_mNN68VnhB5IWcu,,netbanking,,,,
pay_Ca5C1bGc92hU5d,payment,0.00,37475.00,37475.00,INR,0.00,0.00,false,true,2026-08-03T08:36:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_Ca5C1bGc92hU5d,order_K2466PliHWiiEw,,upi,,,,
pay_fdoYz47p0IvnKb,payment,0.00,6588.00,6588.00,INR,0.00,0.00,false,true,2026-08-03T09:45:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_fdoYz47p0IvnKb,order_ir9VS5VgHPFMbR,,upi,,,,
pay_uDD6hYcWEna1Io,payment,0.00,1525.51,1553.00,INR,27.49,4.19,false,true,2026-08-03T22:52:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_uDD6hYcWEna1Io,order_gX7mjjh0a3S6Gr,,netbanking,,,,
pay_n4kvwCBHWOHFrA,payment,0.00,5000.14,5121.00,INR,120.86,18.44,false,true,2026-08-03T21:08:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_n4kvwCBHWOHFrA,order_oX6P7hvE31bcDK,,card,RuPay,ICICI Bank,credit,
pay_bngSOShJvWaNTV,payment,0.00,17176.00,17176.00,INR,0.00,0.00,false,true,2026-08-03T18:22:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_bngSOShJvWaNTV,order_gIK1jqkLKJsgeC,,upi,,,,
pay_FRIB2o6pY8I67w,payment,0.00,576.49,589.00,INR,12.51,1.91,false,true,2026-08-03T07:54:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_FRIB2o6pY8I67w,order_vqlLTGfFceXxJk,,wallet,,,,
pay_oejD1p0MdsU68w,payment,0.00,10553.00,10553.00,INR,0.00,0.00,false,true,2026-08-03T13:05:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_oejD1p0MdsU68w,order_mZlYpgw6RbTugF,,upi,,,,
pay_VN01mlLcDq5scf,payment,0.00,1330.83,1363.00,INR,32.17,4.91,false,true,2026-08-03T21:16:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_VN01mlLcDq5scf,order_jo9zi5ELLYkIM5,,card,MasterCard,HDFC Bank,credit,
pay_OePVeVIAZrYiAD,payment,0.00,1269.32,1300.00,INR,30.68,4.68,false,true,2026-08-03T08:12:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_OePVeVIAZrYiAD,order_nvU1pf23nNmpil,,card,Visa,Kotak,debit,
pay_WP2523vIfGiAb3,payment,0.00,762.00,762.00,INR,0.00,0.00,false,true,2026-08-03T17:58:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_WP2523vIfGiAb3,order_P6c24OBMxBNsAL,,upi,,,,
pay_Xu0GAM0olEu61i,payment,0.00,3309.00,3309.00,INR,0.00,0.00,false,true,2026-08-03T13:16:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_Xu0GAM0olEu61i,order_s2fVh8OLmTSO10,,upi,,,,
pay_A54cqGRJtczRPE,payment,0.00,5658.24,5795.00,INR,136.76,20.86,false,true,2026-08-03T07:31:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_A54cqGRJtczRPE,order_WzwN59RlIDq2hu,,card,Amex,Kotak,credit,
pay_u5To9Ik7zEVo9d,payment,0.00,7979.00,7979.00,INR,0.00,0.00,false,true,2026-08-03T15:36:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_u5To9Ik7zEVo9d,order_y29kAyQZdvYoAi,,upi,,,,
pay_i57vWn6cys3Spf,payment,0.00,577.05,591.00,INR,13.95,2.13,false,true,2026-08-03T21:06:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_i57vWn6cys3Spf,order_iAvCUG7duw0BmX,,card,Amex,SBI Cards,debit,
pay_jten2g4M20mkue,payment,0.00,7510.00,7510.00,INR,0.00,0.00,false,true,2026-08-03T12:32:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_jten2g4M20mkue,order_Ma2Tu9wa8H85dM,,upi,,,,
pay_TRGSgJ0JZdA7gE,payment,0.00,1073.00,1073.00,INR,0.00,0.00,false,true,2026-08-03T16:09:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_TRGSgJ0JZdA7gE,order_JoWkSJohVGWMzB,,upi,,,,
pay_FAhQuUTewIz2TR,payment,0.00,1461.66,1488.00,INR,26.34,4.02,false,true,2026-08-03T10:54:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_FAhQuUTewIz2TR,order_t8HueN9TfHojQZ,,netbanking,,,,
pay_AyZzf7niPNaUQX,payment,0.00,7196.07,7370.00,INR,173.93,26.53,false,true,2026-08-03T11:25:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_AyZzf7niPNaUQX,order_q1gfSKvmqTlamY,,card,MasterCard,ICICI Bank,credit,
pay_qC2FHlh8m7WNZf,payment,0.00,1235.00,1235.00,INR,0.00,0.00,false,true,2026-08-03T15:37:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_qC2FHlh8m7WNZf,order_bnT5xaVu0qK8Cs,,upi,,,,
pay_mb8jWTElKBFYss,payment,0.00,840.68,861.00,INR,20.32,3.10,false,true,2026-08-03T15:44:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_mb8jWTElKBFYss,order_NIA186sJGRHRg0,,card,MasterCard,SBI Cards,debit,
pay_HEhYV03qCxZ8NG,payment,0.00,358.53,365.00,INR,6.47,0.99,false,true,2026-08-03T11:22:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_HEhYV03qCxZ8NG,order_vgNzqxOjtPKCcT,,netbanking,,,,
pay_RIqjf3kp4p7eEE,payment,0.00,430.00,430.00,INR,0.00,0.00,false,true,2026-08-03T09:36:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_RIqjf3kp4p7eEE,order_YEAzy5XyCSH0mK,,upi,,,,
pay_P0gEA6zdp3avSQ,payment,0.00,204.00,204.00,INR,0.00,0.00,false,true,2026-08-03T11:22:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_P0gEA6zdp3avSQ,order_eoROTOh7TJuAl2,,upi,,,,
pay_FY3tSyjgMqtoGT,payment,0.00,24731.24,25329.00,INR,597.76,91.18,false,true,2026-08-03T18:56:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_FY3tSyjgMqtoGT,order_3d0um2iCXjNXdd,,card,Amex,Kotak,credit,
pay_VF6N6yGOTlw0Mc,payment,0.00,386.00,386.00,INR,0.00,0.00,false,true,2026-08-03T12:58:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_VF6N6yGOTlw0Mc,order_h4BsYbBM1EMz4J,,upi,,,,
pay_x6vnSUulMpAPpv,payment,0.00,246.00,246.00,INR,0.00,0.00,false,true,2026-08-03T16:33:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_x6vnSUulMpAPpv,order_gCOPlyBgBUC2eA,,upi,,,,
pay_piFo1unN5IeXTX,payment,0.00,2775.91,2843.00,INR,67.09,10.23,false,true,2026-08-03T18:12:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_piFo1unN5IeXTX,order_q5POKq5IOETVyz,,card,Visa,HDFC Bank,credit,
pay_EtA8FpqE6i1fdP,payment,0.00,3384.00,3384.00,INR,0.00,0.00,false,true,2026-08-03T20:46:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_EtA8FpqE6i1fdP,order_RsxZe3ZdH9uzfa,,upi,,,,
pay_Dj498cpIczfuUE,payment,0.00,1189.00,1189.00,INR,0.00,0.00,false,true,2026-08-03T11:38:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_Dj498cpIczfuUE,order_rXQGAB4WyeqLIE,,upi,,,,
pay_CstVtoYDgATcuW,payment,0.00,23312.53,23876.00,INR,563.47,85.95,false,true,2026-08-03T12:22:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_CstVtoYDgATcuW,order_npcBGhKbvfA8E0,,card,Amex,Kotak,credit,
pay_XWPbIPWFwzPf1S,payment,0.00,4790.00,4790.00,INR,0.00,0.00,false,true,2026-08-03T17:27:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_XWPbIPWFwzPf1S,order_ybxVqmEKSPQnOy,,upi,,,,
pay_ZaSmEmQeB5Jx0w,payment,0.00,37636.00,37636.00,INR,0.00,0.00,false,true,2026-08-03T10:32:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_ZaSmEmQeB5Jx0w,order_aADbHXdhHGswIl,,upi,,,,
pay_xXKQhsdBc1b1nK,payment,0.00,527.26,540.00,INR,12.74,1.94,false,true,2026-08-03T19:16:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_xXKQhsdBc1b1nK,order_fEyQWzvNgCQhAH,,card,RuPay,HDFC Bank,credit,
pay_T4qzcrFVr0YBqq,payment,0.00,974.45,998.00,INR,23.55,3.59,false,true,2026-08-03T08:27:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_T4qzcrFVr0YBqq,order_VyI2pI1NYIMlKo,,card,RuPay,ICICI Bank,credit,
pay_KHRVGAGK7XwUDl,payment,0.00,1496.00,1496.00,INR,0.00,0.00,false,true,2026-08-03T18:23:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_KHRVGAGK7XwUDl,order_W7rHaSCjhmZ4u0,,upi,,,,
pay_JPKba6Yn7oIBIB,payment,0.00,8602.00,8602.00,INR,0.00,0.00,false,true,2026-08-03T21:21:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_JPKba6Yn7oIBIB,order_ZaJVzrENUfG2HF,,upi,,,,
pay_Yl3hJhOhHw0yuX,payment,0.00,1540.00,1540.00,INR,0.00,0.00,false,true,2026-08-03T22:52:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_Yl3hJhOhHw0yuX,order_xNekRYAc4qexYV,,upi,,,,
pay_owIlpOZsqY1qbf,payment,0.00,32897.00,32897.00,INR,0.00,0.00,false,true,2026-08-03T10:55:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_owIlpOZsqY1qbf,order_yvzUPiRbFXAMgi,,upi,,,,
rfnd_ErFkb9ULFbiXxY,refund,35591.00,0.00,35591.00,INR,0.00,0.00,false,true,2026-08-05T09:00:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_diFvxK1jiULdKl,order_YMOQZzcSJqteqU,,upi,,,,
rfnd_4ro1J3RYih1Aor,refund,1454.00,0.00,1454.00,INR,0.00,0.00,false,true,2026-08-05T09:00:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_W05QqSIAVt3uJg,order_RapKbJSkxfCYgA,,upi,,,,
rfnd_pHFWZg22ys9trn,refund,1260.00,0.00,1260.00,INR,0.00,0.00,false,true,2026-08-05T09:00:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_IRUzBv2qb96qln,order_rY1MSYkDBFb2hd,,upi,,,,
rfnd_rVfnopsxilWrVV,refund,20893.00,0.00,20893.00,INR,0.00,0.00,false,true,2026-08-05T09:00:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_0pkonUs6MeHmZ5,,,netbanking,,,,
rfnd_2IqBlGNcpfCD5O,refund,27067.00,0.00,27067.00,INR,0.00,0.00,false,true,2026-08-05T09:00:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_zG9MhZphskrBRK,order_61FHo8aHA4yPCW,,card,Visa,SBI Cards,credit,
pay_hyAH6TI8eDqW88,payment,0.00,4322.52,4427.00,INR,104.48,15.94,false,true,2026-08-04T19:37:00,2026-08-06T11:00:00,setl_pgJouxFpTLfAne,SBINH83649515010,default,pay_hyAH6TI8eDqW88,order_GfJn6hxwBe6WTo,,card,Amex,Axis Bank,credit,
pay_50oA8Q1MO21GGw,payment,0.00,7991.00,7991.00,INR,0.00,0.00,false,true,2026-08-04T16:25:00,2026-08-06T11:00:00,setl_pgJouxFpTLfAne,SBINH83649515010,default,pay_50oA8Q1MO21GGw,order_ik2bmB1hOyVZRN,,upi,,,,
pay_QZLI51WkQ77pVL,payment,0.00,2572.81,2635.00,INR,62.19,9.49,false,true,2026-08-04T18:54:00,2026-08-06T11:00:00,setl_pgJouxFpTLfAne,SBINH83649515010,default,pay_QZLI51WkQ77pVL,order_Bnsr1zGi02QbEF,,card,MasterCard,SBI Cards,debit,
pay_ZKfRnrnrPqZNXv,payment,0.00,7580.00,7580.00,INR,0.00,0.00,false,true,2026-08-04T11:09:00,2026-08-06T11:00:00,setl_pgJouxFpTLfAne,SBINH83649515010,default,pay_ZKfRnrnrPqZNXv,order_KE00RuqTGrdu13,,upi,,,,
pay_bjSY9h3Ucd6YeJ,payment,0.00,276.00,276.00,INR,0.00,0.00,false,true,2026-08-04T15:23:00,2026-08-06T11:00:00,setl_pgJouxFpTLfAne,SBINH83649515010,default,pay_bjSY9h3Ucd6YeJ,order_H767ph5Sqo7g2N,,upi,,,,
pay_lXkUIGDosZp3N0,payment,0.00,16376.00,16376.00,INR,0.00,0.00,false,true,2026-08-04T20:23:00,2026-08-06T11:00:00,setl_pgJouxFpTLfAne,SBINH83649515010,default,pay_lXkUIGDosZp3N0,order_0hX9pYwo3tnnrX,,upi,,,,
pay_MtTZWYAfwUMkJP,payment,0.00,556.00,556.00,INR,0.00,0.00,false,true,2026-08-04T20:58:00,2026-08-06T11:00:00,setl_pgJouxFpTLfAne,SBINH83649515010,default,pay_MtTZWYAfwUMkJP,order_DQfUBv7ChNYs3W,,upi,,,,
